mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
599.33;3.07;0.17;0.06;2;6;500;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500};-0.81;-0.6;-0.59;-0.54;-0.64;0.11;
152.25;0.13;0.04;0.01;2;6;100;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100};-0.84;-0.61;-0.61;-0.54;-0.65;0.11;
76.34;0.15;0.03;0.01;2;6;50;{'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 50};-0.9;-0.6;-0.58;-0.54;-0.65;0.14;
226.99;0.12;0.05;0.02;3;4;150;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150};-0.83;-0.64;-0.62;-0.58;-0.67;0.09;
189.0;0.17;0.05;0.02;3;2;125;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 125};-0.84;-0.62;-0.65;-0.59;-0.67;0.1;
189.04;0.13;0.04;0.02;3;6;125;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 125};-0.85;-0.63;-0.61;-0.59;-0.67;0.1;
593.26;1.99;0.17;0.07;3;2;500;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 500};-0.84;-0.64;-0.63;-0.58;-0.67;0.1;
1208.32;6.27;0.33;0.1;3;4;1000;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000};-0.84;-0.65;-0.62;-0.59;-0.67;0.1;
1212.32;1.62;0.34;0.12;3;6;1000;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1000};-0.84;-0.64;-0.63;-0.59;-0.67;0.1;
1243.69;1.59;0.28;0.11;3;6;1500;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1500};-0.84;-0.64;-0.62;-0.59;-0.67;0.1;
592.54;3.96;0.16;0.06;3;6;500;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 500};-0.85;-0.64;-0.63;-0.58;-0.68;0.1;
227.12;0.07;0.05;0.02;3;2;150;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150};-0.87;-0.64;-0.61;-0.58;-0.68;0.11;
75.78;0.05;0.02;0.01;3;4;50;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50};-0.87;-0.65;-0.61;-0.59;-0.68;0.11;
75.73;0.13;0.03;0.01;3;6;50;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50};-0.87;-0.63;-0.62;-0.61;-0.68;0.11;
595.51;3.5;0.16;0.06;3;4;500;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 500};-0.87;-0.64;-0.62;-0.59;-0.68;0.11;
1227.3;9.29;0.35;0.12;3;2;1000;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000};-0.86;-0.64;-0.63;-0.58;-0.68;0.11;
1235.83;0.31;0.28;0.11;3;2;1500;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1500};-0.86;-0.65;-0.62;-0.59;-0.68;0.11;
1238.32;1.95;0.28;0.1;3;4;1500;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1500};-0.86;-0.64;-0.63;-0.58;-0.68;0.11;
188.93;0.03;0.05;0.02;3;4;125;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 125};-0.88;-0.64;-0.62;-0.59;-0.68;0.12;
150.38;0.09;0.04;0.01;1;8;100;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 100};-0.86;-0.67;-0.65;-0.58;-0.69;0.1;
151.37;0.14;0.04;0.01;3;6;100;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100};-0.86;-0.64;-0.64;-0.6;-0.69;0.1;
1197.95;16.35;0.36;0.14;1;8;1000;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1000};-0.85;-0.67;-0.64;-0.59;-0.69;0.1;
75.78;0.14;0.03;0.01;3;2;50;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50};-0.87;-0.65;-0.65;-0.6;-0.69;0.11;
151.2;0.1;0.04;0.02;3;2;100;{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100};-0.9;-0.64;-0.63;-0.59;-0.69;0.12;
226.73;0.12;0.05;0.02;3;6;150;{'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150};-0.89;-0.66;-0.62;-0.6;-0.69;0.12;
1217.51;4.95;0.3;0.1;2;8;1000;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1000};-0.87;-0.68;-0.66;-0.6;-0.7;0.1;
1232.2;0.79;0.27;0.11;1;8;1500;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 1500};-0.89;-0.67;-0.64;-0.59;-0.7;0.11;
187.74;0.16;0.05;0.02;1;8;125;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 125};-0.9;-0.66;-0.65;-0.58;-0.7;0.12;
586.53;3.62;0.16;0.06;1;8;500;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 500};-0.9;-0.66;-0.65;-0.59;-0.7;0.12;
151.31;0.15;0.04;0.01;3;4;100;{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100};-0.92;-0.65;-0.63;-0.59;-0.7;0.13;
186.88;0.26;0.05;0.02;2;8;125;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 125};-0.87;-0.69;-0.65;-0.61;-0.71;0.1;
589.22;4.92;0.16;0.05;2;8;500;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500};-0.89;-0.67;-0.66;-0.61;-0.71;0.11;
1225.34;0.62;0.26;0.1;2;8;1500;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 1500};-0.9;-0.67;-0.66;-0.6;-0.71;0.11;
75.07;0.08;0.02;0.01;2;8;50;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 50};-0.9;-0.68;-0.64;-0.6;-0.71;0.12;
225.54;0.2;0.05;0.02;1;8;150;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 150};-0.92;-0.68;-0.65;-0.59;-0.71;0.13;
74.71;0.09;0.02;0.01;3;8;50;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 50};-0.85;-0.69;-0.69;-0.63;-0.72;0.08;
149.25;0.17;0.04;0.01;3;8;100;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100};-0.91;-0.68;-0.67;-0.63;-0.72;0.11;
149.75;0.24;0.04;0.01;2;8;100;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 100};-0.92;-0.69;-0.66;-0.61;-0.72;0.12;
224.63;0.18;0.05;0.02;2;8;150;{'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 150};-0.93;-0.67;-0.66;-0.6;-0.72;0.13;
186.28;0.37;0.04;0.02;3;8;125;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 125};-0.9;-0.68;-0.69;-0.63;-0.73;0.1;
223.47;0.18;0.05;0.02;3;8;150;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 150};-0.9;-0.71;-0.67;-0.63;-0.73;0.1;
583.06;0.85;0.16;0.06;3;8;500;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 500};-0.92;-0.69;-0.68;-0.63;-0.73;0.11;
1202.51;6.99;0.31;0.11;3;8;1000;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000};-0.91;-0.69;-0.68;-0.64;-0.73;0.11;
1221.77;1.07;0.26;0.1;3;8;1500;{'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1500};-0.92;-0.7;-0.68;-0.63;-0.73;0.11;
75.38;0.07;0.02;0.01;1;8;50;{'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 50};-1.02;-0.68;-0.66;-0.61;-0.74;0.16;
222.65;0.07;0.05;0.02;4;6;150;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 150};-0.9;-0.77;-0.71;-0.68;-0.76;0.08;
74.39;0.05;0.02;0.01;4;6;50;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 50};-0.91;-0.72;-0.72;-0.69;-0.76;0.09;
148.65;0.15;0.04;0.01;4;6;100;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 100};-0.91;-0.76;-0.69;-0.68;-0.76;0.09;
1173.08;6.3;0.31;0.1;4;2;1000;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000};-0.91;-0.75;-0.71;-0.68;-0.76;0.09;
148.67;0.18;0.04;0.01;4;4;100;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100};-0.92;-0.76;-0.71;-0.68;-0.77;0.09;
74.4;0.16;0.02;0.01;4;2;50;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50};-0.93;-0.77;-0.7;-0.67;-0.77;0.1;
185.61;0.12;0.05;0.02;4;4;125;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 125};-0.93;-0.75;-0.71;-0.68;-0.77;0.1;
222.76;0.26;0.05;0.02;4;4;150;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 150};-0.93;-0.74;-0.72;-0.68;-0.77;0.1;
149.06;0.21;0.04;0.01;4;8;100;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100};-0.93;-0.77;-0.71;-0.68;-0.77;0.1;
186.43;0.37;0.04;0.02;4;8;125;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 125};-0.94;-0.75;-0.72;-0.68;-0.77;0.1;
587.66;3.54;0.15;0.05;4;4;500;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500};-0.94;-0.75;-0.72;-0.68;-0.77;0.1;
586.26;4.09;0.15;0.06;4;6;500;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 500};-0.95;-0.75;-0.71;-0.68;-0.77;0.1;
612.6;4.5;0.15;0.05;4;8;500;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 500};-0.94;-0.75;-0.71;-0.68;-0.77;0.1;
1175.86;3.55;0.29;0.1;4;4;1000;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1000};-0.93;-0.75;-0.72;-0.68;-0.77;0.1;
1179.99;7.03;0.29;0.1;4;6;1000;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1000};-0.94;-0.75;-0.71;-0.68;-0.77;0.1;
1178.94;1.92;0.28;0.09;4;8;1000;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000};-0.94;-0.75;-0.71;-0.68;-0.77;0.1;
1217.07;1.15;0.26;0.1;4;2;1500;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1500};-0.94;-0.75;-0.71;-0.68;-0.77;0.1;
1217.1;0.47;0.26;0.1;4;4;1500;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1500};-0.93;-0.75;-0.71;-0.68;-0.77;0.1;
1214.0;0.87;0.26;0.1;4;8;1500;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1500};-0.94;-0.75;-0.71;-0.68;-0.77;0.1;
148.58;0.13;0.04;0.01;4;2;100;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100};-0.95;-0.74;-0.71;-0.68;-0.77;0.11;
222.64;0.05;0.05;0.02;4;2;150;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150};-0.95;-0.74;-0.71;-0.68;-0.77;0.11;
185.62;0.08;0.04;0.01;4;6;125;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 125};-0.95;-0.77;-0.7;-0.67;-0.77;0.11;
1217.1;0.71;0.26;0.1;4;6;1500;{'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 1500};-0.95;-0.75;-0.71;-0.68;-0.77;0.11;
185.66;0.08;0.04;0.01;4;2;125;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 125};-0.99;-0.73;-0.7;-0.68;-0.77;0.12;
169.37;1.45;0.03;0.01;4;8;150;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 150};-0.93;-0.78;-0.71;-0.69;-0.78;0.1;
586.67;5.89;0.15;0.05;4;2;500;{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500};-0.94;-0.76;-0.71;-0.69;-0.78;0.1;
74.42;0.08;0.02;0.01;4;4;50;{'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 50};-0.98;-0.73;-0.74;-0.67;-0.78;0.12;
74.46;0.09;0.02;0.01;4;8;50;{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 50};-0.98;-0.75;-0.71;-0.68;-0.78;0.12;
604.21;3.58;0.14;0.05;5;4;500;{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500};-0.99;-0.85;-0.78;-0.76;-0.84;0.09;
1202.71;0.23;0.25;0.09;5;6;1500;{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1500};-1.0;-0.84;-0.78;-0.76;-0.84;0.09;
604.35;2.93;0.14;0.05;5;2;500;{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500};-1.01;-0.84;-0.78;-0.75;-0.85;0.1;
573.09;7.03;0.14;0.05;5;6;500;{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 500};-1.01;-0.85;-0.78;-0.75;-0.85;0.1;
1166.55;2.77;0.27;0.09;5;4;1000;{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1000};-1.01;-0.84;-0.77;-0.75;-0.85;0.1;
1151.16;1.59;0.25;0.08;5;6;1000;{'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1000};-1.02;-0.84;-0.78;-0.75;-0.85;0.1;
1151.21;4.17;0.26;0.09;5;8;1000;{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1000};-1.01;-0.85;-0.77;-0.76;-0.85;0.1;
1199.74;0.6;0.25;0.09;5;2;1500;{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1500};-1.02;-0.85;-0.78;-0.75;-0.85;0.1;
1200.28;1.55;0.25;0.1;5;4;1500;{'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 1500};-1.02;-0.84;-0.78;-0.76;-0.85;0.1;
566.17;3.42;0.14;0.05;5;8;500;{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500};-1.03;-0.85;-0.78;-0.75;-0.85;0.11;
1165.06;3.69;0.28;0.09;5;2;1000;{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000};-1.03;-0.84;-0.77;-0.75;-0.85;0.11;
1202.31;0.85;0.25;0.09;5;8;1500;{'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1500};-1.02;-0.84;-0.77;-0.75;-0.85;0.11;
